,Amount_Requested,Interest_Rate_Percentage,Loan_Length_in_Months,Loan_Purpose,Monthly_PAYMENT,Total_Amount_Funded,Debt_To_Income_Ratio_Percentage,Status
1591,6000,11.48,36,2,197.82,6000,18.2,1
1592,20000,17.93,36,5,722.35,20000,3.91,1
1593,12000,9.32,36,2,383.37,12000,2.34,0
1594,2800,13.35,36,11,94.82,2800,15.04,0
1595,8000,18.25,36,1,290.23,8000,6.72,1
1596,10000,10.75,36,1,326.21,10000,21.12,1
1597,35000,17.27,60,1,578.71,23150,7.94,1
1598,8275,8.07,36,14,259.58,8275,9.89,1
1599,14400,10.62,36,3,468.86,14400,6.26,1
1600,8000,13.17,36,2,251.64,7450,10.81,1
1601,20000,17.04,36,3,713.49,20000,12.5,0
1602,5000,12.42,36,1,167.08,5000,23.84,0
1603,7500,11.03,36,2,245.65,7500,21.91,1
1604,5000,18.21,36,1,181.3,5000,11.39,0
1605,17000,11.86,36,1,423.46,12775,15.77,1
1606,6600,13.06,36,1,222.58,6600,22.08,0
1607,5975,11.49,36,1,197.01,5975,7.69,1
1608,9600,9.07,36,13,305.6,9600,3.67,1
1609,10000,8.32,36,14,134.6,4275,1.77,1
1610,15000,12.84,36,1,504.27,15000,12.46,1
1611,7000,6.03,36,13,213.05,7000,13.99,0
1612,25000,11.26,36,5,821.59,25000,7,0
1613,15250,14.42,36,1,524.34,15250,20.64,0
1614,4800,15.28,60,14,114.9,4800,23.61,0
1615,24000,20.03,36,1,892.3,24000,20.71,0
1616,9000,10.91,36,2,294.27,9000,17.17,1
1617,10000,11.11,36,14,327.91,10000,22.8,0
1618,3000,10.71,36,1,97.81,3000,10.93,1
1619,16000,15.25,36,1,556.61,16000,11.48,0
1620,16000,6.17,60,5,215.96,11125,10.92,1
1621,24250,11.49,60,1,533.2,24250,14.37,0
1622,18000,12.68,60,1,406.62,18000,20.2,0
1623,10000,11.86,60,1,221.74,10000,10.9,0
1624,10000,10.38,36,3,324.46,10000,3.5,0
1625,6250,12.42,60,3,140.36,6250,17.4,0
1626,4000,13.98,36,1,136.68,4000,17.49,1
1627,24000,17.43,60,4,417.03,16625,5.25,1
1628,9600,9.91,60,1,203.55,9600,21.69,0
1629,6500,9.38,36,3,207.85,6500,9.22,1
1630,5000,12.18,36,14,166.5,5000,22.45,0
1631,15000,20.48,60,1,401.43,15000,1.23,0
1632,20000,11.12,36,1,655.92,20000,13.9,0
1633,16000,16.02,60,2,389.26,16000,11.1,1
1634,2000,5.42,36,11,60.32,2000,17.12,0
1635,5000,14.27,36,9,171.55,5000,8.81,0
1636,12000,11.49,36,2,395.66,12000,11.18,1
1637,6400,9.32,36,1,204.46,6400,24,1
1638,7375,9.76,60,1,155.83,7375,27.42,0
1639,12000,10.99,36,1,392.81,12000,6.67,0
1640,4500,11.71,36,1,148.85,4500,15.87,0
1641,7000,15.62,36,10,244.79,7000,21.64,1
1642,5000,11.12,36,4,163.98,5000,19.37,0
1643,5000,16.29,36,2,176.51,5000,27.41,0
1644,6500,7.74,36,2,202.93,6500,16.39,1
1645,16000,9.45,36,5,272.09,8500,3.12,1
1646,24000,12.73,60,14,340.36,15050,10.26,1
1647,4800,13.11,36,14,161.99,4800,1.5,1
1648,2500,13.49,36,1,84.83,2500,12.39,1
1649,4000,15.21,60,11,95.61,4000,21.16,0
1650,5000,11.28,36,7,139.71,4250,4.65,0
1651,8800,10.59,36,1,286.4,8800,6.16,1
1652,8000,14.18,36,1,274.13,8000,20.71,1
1653,1000,14.27,36,10,34.31,1000,12.26,1
1654,1000,15.81,36,14,35.07,1000,18.34,1
1655,8725,9.32,36,3,278.74,8725,16.59,0
1656,10000,7.66,36,1,311.8,10000,15.28,1
1657,24875,22.45,60,1,693.4,24875,13.31,0
1658,6000,14.61,36,3,206.86,6000,12.76,0
1659,16000,7.9,36,1,500.65,16000,8.85,1
1660,10000,10.62,36,14,325.6,10000,17.97,0
1661,4000,10.51,36,14,130.03,4000,5.07,0
1662,16000,12.61,60,14,360.87,16000,19.7,0
1663,20500,11.03,36,1,671.44,20500,15.72,0
1664,5500,13.43,60,11,126.36,5500,9.92,0
1665,5000,6.03,36,14,152.18,5000,23.12,1
1666,6000,6.76,36,11,184.62,6000,8.22,1
1667,6000,13.23,60,1,137.23,6000,15.09,1
1668,2200,9.63,36,14,70.61,2200,21.77,1
1669,14900,9.63,36,1,478.21,14900,17.54,1
1670,3600,6.62,36,1,110.54,3600,10.11,1
1671,4000,12.73,36,3,134.27,4000,11.68,0
1672,24000,19.91,60,1,634.66,24000,8.38,1
1673,6000,7.29,60,1,119.63,6000,11.4,1
1674,3000,13.61,36,1,101.97,3000,11.94,0
1675,8500,13.35,36,2,287.84,8500,14.97,1
1676,5600,9.99,36,2,180.67,5600,17.71,1
1677,8000,15.33,36,7,278.63,8000,8.47,1
1678,24000,15.96,36,5,843.3,24000,9.17,0
1679,6000,14.65,36,1,206.97,6000,11.89,1
1680,15000,20.99,36,1,565.05,15000,27.02,0
1681,1000,14.74,36,3,34.54,1000,1.2,1
1682,23000,12.18,36,2,765.9,23000,8.58,0
1683,6000,14.74,36,1,207.23,6000,15.02,1
1684,24000,16.08,36,12,492.76,14000,20.39,0
1685,17000,17.14,60,1,423.78,17000,22.87,0
1686,25000,16.02,60,4,579.03,23800,11.68,1
1687,3000,10.08,36,12,96.92,3000,6.9,0
1688,10000,14.09,36,5,342.22,10000,17.74,0
1689,23975,12.53,36,4,802.36,23975,12.46,0
1690,10000,8.59,36,2,316.11,10000,15.38,1
1691,16000,17.15,36,1,571.64,16000,19.13,0
1692,5800,6.62,36,7,178.09,5800,20.81,0
1693,25000,18.09,36,2,904.88,25000,19.75,0
1694,10000,13.99,36,11,341.73,10000,9.57,1
1695,11000,15.68,36,5,385.02,11000,14.97,0
1696,8000,13.92,36,4,273.1,8000,5.99,1
1697,2000,8.9,36,14,63.51,2000,3.1,1
1698,16000,13.11,36,1,539.92,16000,22.97,0
1699,16750,20.11,36,3,623.4,16750,21.34,0
1700,10800,12.09,36,1,359.18,10800,5.53,0
1701,7800,9.99,36,1,251.65,7800,11.06,1
1702,25000,13.67,60,1,577.44,25000,9.73,1
1703,10000,5.99,36,4,304.18,10000,15.63,1
1704,15000,11.34,36,3,493.5,15000,2.32,1
1705,15200,12.21,36,14,263.19,7900,7.25,1
1706,10000,9.99,36,2,322.63,10000,10.85,1
1707,21000,11.97,36,2,697.2,21000,7.99,1
1708,10800,11.99,36,5,358.67,10800,0,1
1709,11200,19.29,60,3,292.33,11200,3.34,0
1710,10000,10.25,36,1,323.85,10000,24.39,1
1711,5000,10.59,36,1,162.73,5000,13.98,1
1712,11000,12.53,36,14,368.13,11000,1.62,1
1713,7000,8.9,36,1,222.28,7000,23.58,0
1714,12000,15.99,36,1,421.83,12000,21.14,1
1715,7350,6.62,36,8,225.68,7350,22.47,0
1716,22000,11.48,36,6,725.31,22000,0.56,0
1717,18000,16.49,60,2,275.91,11225,16.1,0
1718,8875,10.65,36,1,289.09,8875,11.31,0
1719,9000,14.22,36,5,308.56,9000,17.3,1
1720,1500,11.11,36,1,49.19,1500,5.69,1
1721,12000,13.11,36,2,404.94,12000,6.07,1
1722,25000,18.79,60,3,473.25,18325,12.56,1
1723,16000,9.63,36,7,513.51,16000,5.92,1
1724,24250,16.7,36,1,860.91,24250,17.14,1
1725,10000,5.42,36,1,301.6,10000,12.59,1
1726,8875,7.9,36,1,277.71,8875,19.43,0
1727,6000,17.27,36,14,214.73,6000,1.75,1
1728,6000,13.49,36,14,203.59,6000,10.4,0
1729,9000,14.33,36,1,309.05,9000,16.29,1
1730,6000,11.99,60,3,133.44,6000,16.27,0
1731,4800,6.03,36,4,146.1,4800,5.52,1
1732,8900,6.17,36,1,189.86,6225,4.47,1
1733,7500,14.42,36,1,257.87,7500,15.92,0
1734,9000,13.23,36,1,304.25,9000,17.54,1
1735,25000,15.65,60,10,603.32,25000,14.78,0
1736,15000,16.63,36,1,532.05,15000,11.15,0
1737,12375,10.37,36,1,401.46,12375,24.58,0
1738,14000,7.51,36,2,435.56,14000,22.67,1
1739,33600,17.27,60,1,839.94,33600,15.08,0
1740,8000,14.91,36,4,276.98,8000,16.53,0
1741,14000,13.85,36,3,477.46,14000,9.61,0
1742,12000,12.73,36,1,402.8,12000,20.32,0
1743,25000,14.46,36,2,860.04,25000,9.16,0
1744,5500,11.71,36,6,181.92,5500,18.27,0
1745,9000,12.61,36,1,301.56,9000,14.68,0
1746,5225,14.84,36,5,180.72,5225,5.27,0
1747,7000,14.91,36,2,242.35,7000,20.35,0
1748,2500,12.12,36,6,83.18,2500,4.64,1
1749,18000,21.48,60,1,491.84,18000,20.91,0
1750,1600,12.84,36,5,53.79,1600,2.46,1
1751,5000,17.27,36,5,178.94,5000,14.2,0
1752,3600,20.25,60,1,95.88,3600,16.12,1
1753,15000,17.58,36,3,539.13,15000,9.18,1
1754,8500,15.21,60,14,203.16,8500,20.9,1
1755,13000,12.12,36,1,432.54,13000,21.86,1
1756,4500,14.84,36,6,155.65,4500,12.44,1
1757,17950,7.49,36,7,408.21,13125,10.9,1
1758,1200,7.29,36,8,37.22,1200,25.5,0
1759,10000,9.64,36,1,320.99,10000,8.17,1
1760,15000,10,36,2,484.01,15000,7.04,0
1761,7500,15.99,36,1,263.65,7500,21.74,1
1762,20000,10.99,36,1,654.68,20000,7.26,1
1763,10500,15.31,36,2,365.59,10500,17.08,1
1764,25000,13.79,36,5,851.89,25000,4.45,0
1765,7000,14.93,36,5,242.42,7000,11.77,1
1766,9600,14.91,60,1,227.94,9600,20.18,0
1767,10000,13.79,36,8,340.76,10000,15.49,0
1768,23500,6.91,36,3,440.96,14300,19.78,0
1769,10000,12.42,36,1,334.16,10000,6.39,1
1770,26500,16.77,60,1,655.33,26500,18.59,0
1771,4000,13.8,60,7,92.66,4000,10.78,0
1772,6600,10.33,36,14,180.76,5575,13.88,1
1773,25000,20.03,60,4,662.77,25000,23.01,0
1774,5650,7.66,36,1,176.17,5650,16.49,1
1775,10000,11.34,36,12,329,10000,5.11,0
1776,9600,15.37,36,1,334.53,9600,17.04,1
1777,5000,16.29,36,14,176.51,5000,3.61,0
1778,20000,7.88,36,5,625.63,20000,5.68,1
1779,4000,6.39,36,2,122.4,4000,4.69,0
1780,12650,11.34,36,1,416.19,12650,21.96,1
1781,10000,11.36,36,1,329.12,10000,11.19,0
1782,12000,17.77,36,2,432.45,12000,14.65,0
1783,7000,14.96,36,4,242.53,7000,8.59,0
1784,12000,12.87,36,1,403.6,12000,22.47,0
1785,1000,13.49,36,4,33.94,1000,4.49,0
1786,15000,16,36,3,527.36,15000,7.92,0
1787,11000,10.37,36,2,356.86,11000,21.11,0
1788,8000,5.42,36,1,241.28,8000,7.66,1
1789,12850,22.74,60,14,360.34,12850,1.36,0
1790,7500,9.76,36,1,241.16,7500,6.74,0
1791,12800,13.67,36,1,435.43,12800,5.65,1
1792,9000,15.99,60,14,218.82,9000,13.14,0
1793,24000,13.85,36,1,818.5,24000,20.44,1
1794,20000,13.49,60,2,460.1,20000,20.62,0
1795,24250,16,36,14,852.57,24250,3.25,0
1796,26400,20.99,60,2,714.07,26400,20.66,0
1797,7500,11.78,36,5,248.32,7500,17.72,1
1798,5000,11.97,36,14,166,5000,20.68,1
1799,6000,12.42,36,1,200.5,6000,23.1,1
1800,6475,6.99,36,1,199.9,6475,5.77,0
1801,13000,11.86,60,1,288.26,13000,11.89,1
1802,8000,11.11,36,1,262.33,8000,22.83,0
1803,16250,12.42,36,2,543,16250,15.94,0
1804,1500,9.32,36,14,47.93,1500,18.2,1
1805,5000,15.31,36,14,174.09,5000,11.72,0
1806,35000,14.91,60,5,831,35000,12.1,0
1807,3000,12.12,36,2,99.82,3000,14.31,0
1808,23100,14.74,36,2,797.8,23100,17.45,0
1809,3500,11.91,36,12,116.1,3500,2.47,1
1810,12000,11.36,36,1,394.94,12000,5.56,1
1811,20000,13.48,36,2,678.52,20000,12.89,0
1812,7000,15.38,36,2,243.97,7000,23.54,1
1813,20000,6.17,36,1,372.09,12200,8.42,1
1814,10000,18.49,60,14,256.61,10000,18.42,0
1815,25000,14.79,60,1,403.75,17050,20.62,0
1816,20000,12.53,36,14,669.33,20000,3.65,1
1817,6000,8.94,36,2,190.63,6000,2.96,1
1818,9000,7.88,36,2,281.53,9000,9.18,1
1819,12000,7.88,36,1,375.38,12000,7.34,0
1820,3200,16.82,60,1,79.22,3200,16.62,0
1821,7000,13.61,36,1,237.92,7000,16.48,1
1822,10000,13.98,60,14,158.16,6800,16.09,0
1823,15000,18.54,60,1,385.33,15000,14.54,0
1824,8500,13.92,36,1,290.17,8500,16.05,0
1825,20000,16.29,60,1,489.45,20000,21.74,0
1826,7000,13.67,36,1,238.13,7000,10,1
1827,3500,12.53,36,1,117.14,3500,23.12,1
1828,24000,12.92,36,1,807.74,24000,15.08,0
1829,5400,7.66,36,6,168.38,5400,12.73,1
1830,7000,10.59,36,1,227.82,7000,8.5,1
1831,9100,21.48,60,1,248.65,9100,19.95,0
1832,9000,11.49,36,7,296.75,9000,13.4,0
1833,7050,12.23,60,2,157.65,7050,17.4,0
1834,5000,6.03,36,14,152.18,5000,1.8,1
1835,3500,7.66,60,6,70.4,3500,2.55,1
1836,13200,6.17,36,1,402.59,13200,5.91,1
1837,30000,18.25,60,1,765.89,30000,10.03,1
1838,6000,7.74,36,12,187.32,6000,6.75,1
1839,5000,15.65,60,11,120.67,5000,2.88,1
1840,10000,10.38,36,14,321.22,9900,21.89,0
1841,12000,15.65,36,3,419.84,12000,11.94,0
1842,9000,11.89,36,6,50.58,1525,8.12,0
1843,1400,10.59,36,14,45.57,1400,14.64,1
1844,10000,8.38,36,12,315.12,10000,4.2,1
1845,15200,14.26,36,1,521.45,15200,17.19,0
1846,25000,12.18,36,12,832.5,25000,12.36,0
1847,24000,11.46,36,1,467.99,14200,15.83,1
1848,5500,14.74,36,2,189.96,5500,14.35,1
1849,13000,15.33,36,1,452.77,13000,8.87,1
1850,6000,10.38,60,14,128.61,6000,13.08,1
1851,2400,13.98,36,14,82.01,2400,14.73,0
1852,3800,6.03,36,1,115.66,3800,17.47,1
1853,4500,10.74,36,14,146.78,4500,21.7,1
1854,7000,7.68,36,5,218.34,7000,23.21,0
1855,7500,11.59,36,1,158.5,4800,20.45,1
1856,15000,13.47,36,5,508.84,15000,14.34,1
1857,4975,10.37,36,1,161.4,4975,23.16,1
1858,12000,15.99,60,1,291.76,12000,17.48,1
1859,4000,10.74,36,1,130.47,4000,14.72,1
1860,1200,6.54,36,4,36.81,1200,9.5,1
1861,8000,15.99,36,2,281.22,8000,9.23,1
1862,10000,15.05,36,1,346.92,10000,11.92,0
1863,5000,18.3,60,1,127.79,5000,12.35,1
1864,3500,12.18,36,14,116.55,3500,3.44,0
1865,20000,10.99,36,1,654.71,20000,20.91,0
1866,12000,15.21,60,1,286.81,12000,6.49,0
1867,22000,6.54,36,2,674.68,22000,9.45,1
1868,6725,10.62,36,14,218.97,6725,12.48,1
1869,2000,13.99,36,14,68.35,2000,0.51,0
1870,3000,8,36,14,94.01,3000,0,1
1871,8500,8.9,36,6,269.91,8500,26.34,1
1872,11200,21.74,60,1,307.68,11200,6.3,0
1873,5975,12.99,36,1,201.3,5975,6.68,1
1874,25000,11.36,36,1,822.78,25000,17.15,0
1875,3000,17.51,60,11,75.39,3000,5.61,1
1876,24000,14.91,36,4,830.92,24000,21.94,1
1877,13000,16,36,1,457.05,13000,23.89,1
1878,5850,9.99,36,2,188.74,5850,8.86,1
1879,15250,18.49,36,1,555.08,15250,25.88,0
1880,8000,10.51,36,4,260.06,8000,11.19,0
1881,8000,14.61,36,7,275.81,8000,12.59,0
1882,3000,13.8,60,4,69.5,3000,9.18,0
1883,15000,12.04,36,5,498.51,15000,17.08,1
1884,16000,17.88,60,1,405.26,16000,23.05,0
1885,20000,19.22,60,1,521.24,20000,13.79,1
1886,10000,11.66,36,5,330.53,10000,10.74,0
1887,20000,20.99,60,10,540.96,20000,18.61,1
1888,10000,6.92,36,5,308.41,10000,14.75,1
1889,5000,13.99,60,1,116.32,5000,11.29,0
1890,6400,12.23,60,2,143.11,6400,4.74,0
1891,2800,10,36,11,90.35,2800,9.29,1
1892,11000,5.79,36,1,333.6,11000,7.36,1
1893,13750,8.88,36,1,436.48,13750,24.63,1
1894,18000,8.49,36,10,568.14,18000,24.16,1
1895,4800,12.21,36,10,159.92,4800,11.94,1
1896,9000,18.39,36,1,327.14,9000,18.23,0
1897,2200,7.88,36,3,68.82,2200,1.2,1
1898,9600,11.49,60,5,211.09,9600,0.72,1
1899,24000,10.99,36,1,608.86,18600,9.86,1
1900,17000,12.42,36,1,568.06,17000,17.91,1
1901,35000,19.74,60,2,922.23,35000,11.02,0
1902,16400,11.03,36,1,537.15,16400,4.42,0
1903,7000,6.62,36,1,214.93,7000,4.84,1
1904,2000,13.23,60,11,45.75,2000,1.69,1
1905,19000,11.12,60,1,414.25,19000,11.3,0
1906,12000,11.58,36,3,396.17,12000,10.99,0
1907,12000,9.91,60,1,204.61,9650,17.45,0
1908,8000,13.92,36,5,273.1,8000,20.16,0
1909,12000,13.11,36,1,404.94,12000,13.55,1
1910,12250,17.27,36,10,438.4,12250,19.57,1
1911,20000,13.22,36,1,676.02,20000,10.44,1
1912,8400,15.21,36,1,292.06,8400,19.86,0
1913,14400,13.99,60,1,334.99,14400,9.36,0
1914,7200,9.62,36,7,231.05,7200,4.79,1
1915,7200,16.32,60,4,176.32,7200,12.67,0
1916,4500,6.62,36,4,138.17,4500,1.54,1
1917,6000,15.81,36,14,210.38,6000,25.02,0
1918,14000,15.88,36,5,491.37,14000,20.67,1
1919,5875,14.11,36,12,201.1,5875,0.56,1
1920,2300,17.58,36,2,82.67,2300,5.93,1
1921,10300,16.29,36,1,363.6,10300,12.86,0
1922,14000,8.9,36,1,444.55,14000,12.9,0
1923,20000,17.49,60,2,502.34,20000,24.64,1
1924,18000,16.02,60,2,437.92,18000,23.76,0
1925,5000,6.76,36,14,153.85,5000,8.21,1
1926,2200,12.69,60,4,49.71,2200,23.77,1
1927,24250,14.96,36,1,840.15,24250,12.19,1
1928,10000,10.37,36,14,324.42,10000,4.19,0
1929,10000,6.62,36,8,307.04,10000,20.65,1
1930,17000,12.87,36,1,571.77,17000,17.22,1
1931,35000,14.09,60,5,816.03,35000,0.84,1
1932,8100,6.62,36,10,248.7,8100,11.03,0
1933,16000,12.67,36,1,536.57,16000,10.13,0
1934,8000,11.99,36,1,265.68,8000,24.9,0
1935,35000,21.97,60,11,966.07,35000,17.05,0
1936,7675,13.87,36,2,118.55,3475,24.51,0
1937,12000,18.79,60,5,309.91,12000,7.43,0
1938,17500,13.85,36,3,596.82,17500,22.18,0
1939,35000,17.51,60,5,879.47,35000,13.38,0
1940,16000,11.99,36,1,531.36,16000,7.17,0
1941,12000,11.11,36,7,393.5,12000,0.77,0
1942,8000,13.49,60,1,184.04,8000,16.07,0
1943,25000,14.18,36,7,856.63,25000,22.45,0
1944,10000,13.72,36,1,340.42,10000,6.78,1
1945,14000,18.25,60,1,357.42,14000,18.93,0
1946,18200,14.26,36,1,624.37,18200,15.65,1
1947,6000,13.92,36,1,204.83,6000,15.64,1
1948,1925,14.35,36,1,66.12,1925,16.98,0
1949,23000,14.84,36,1,795.51,23000,19.29,0
1950,12000,11.58,36,1,396.17,12000,13.89,0
1951,1050,14.72,36,1,36.26,1050,14.77,1
1952,9500,7.62,36,14,296.04,9500,21.18,1
1953,15000,13.22,36,1,507.01,15000,17.93,1
1954,8725,12.12,60,4,194.62,8725,23.58,0
1955,12000,7.88,36,1,375.37,12000,11.13,0
1956,1550,15.27,36,14,53.94,1550,8.86,0
1957,10000,11.89,36,4,331.64,10000,11.86,1
1958,5500,13.43,60,2,126.36,5500,22.48,0
1959,6000,12.41,36,6,200.47,6000,12.68,0
1960,15250,8.88,60,4,258.24,12475,11.65,0
1961,10000,11.99,36,1,332.1,10000,17.62,1
1962,1500,12.73,36,14,50.35,1500,8.25,1
1963,25000,17.51,60,4,628.2,25000,21.63,1
1964,3800,7.29,36,1,117.84,3800,17.18,0
1965,5000,6.03,36,2,152.18,5000,6.97,1
1966,3500,10.25,36,14,113.35,3500,9.05,1
1967,19600,16.82,60,1,485.22,19600,19.68,0
1968,10425,9.45,36,14,333.7,10425,6.02,0
1969,13475,16.49,60,1,331.21,13475,23.23,0
1970,10000,17.56,60,14,251.55,10000,13.04,0
1971,5050,6.99,36,5,155.91,5050,18.22,1
1972,7000,11.49,36,1,230.8,7000,9.56,1
1973,1250,13.16,36,14,42.22,1250,21.33,0
1974,8600,14.09,36,1,294.31,8600,17.48,1
1975,13250,16.89,36,10,471.68,13250,18.14,1
1976,25000,13.23,60,3,362.51,15850,10.79,1
1977,4000,13.43,60,1,91.9,4000,5.35,0
1978,6400,6.91,36,1,197.36,6400,13.39,0
1979,7125,6.03,36,1,216.86,7125,18.66,1
1980,9600,15.81,36,1,336.61,9600,10.97,0
1981,25000,16.4,36,1,883.88,25000,8.19,0
1982,25000,18.43,36,1,909.25,25000,10.04,0
1983,1700,8.49,36,1,53.66,1700,11.36,1
1984,3000,15.62,36,1,104.91,3000,15.89,1
1985,5000,10.95,36,14,162.76,4975,12.69,0
1986,16800,6.17,36,1,512.39,16800,18.89,0
1987,10000,12.53,36,10,334.67,10000,22.56,0
1988,15000,14.79,36,1,518.44,15000,11.07,1
1989,20000,13.61,60,2,323.51,14025,22.13,1
1990,12550,20.5,36,1,469.61,12550,11.24,1
1991,15250,15.2,60,1,364.4,15250,19.15,0
1992,20500,9.25,36,1,481.94,15100,22.6,1
1993,10000,9.88,36,1,322.11,10000,19.96,0
1994,4000,12.18,36,1,133.2,4000,16.65,0
1995,7000,12.73,36,1,234.97,7000,23.36,1
1996,10000,7.51,36,2,311.11,10000,10.61,1
1997,25000,10.99,36,2,818.35,25000,17.43,1
1998,14000,10.65,36,2,456.03,14000,15.52,1
1999,21000,11.99,36,14,697.41,21000,14.35,0
2000,2000,5.42,36,1,60.32,2000,5.62,1
2001,9000,14.65,36,2,310.45,9000,11.71,0
2002,20000,11.58,36,6,660.27,20000,6.93,1
2003,4775,11.14,36,2,156.65,4775,6.4,1
2004,3000,10.62,36,14,97.68,3000,0.78,0
2005,29100,12.99,36,3,980.36,29100,16.25,0
2006,26000,21.28,60,1,707.49,26000,18.76,0
2007,2400,14.26,36,1,82.34,2400,19.13,0
2008,9000,12.73,36,1,302.1,9000,17.12,0
2009,8000,11.11,36,1,262.33,8000,15.18,1
2010,16000,11.49,60,14,212.73,9675,14.84,0
2011,6000,11.14,36,4,196.83,6000,1.7,1
2012,17000,17.99,60,1,431.6,17000,10.24,0
2013,8000,12.73,36,11,268.53,8000,5.11,0
2014,6000,14.27,36,2,205.86,6000,7.64,1
2015,12000,12.98,36,1,404.22,12000,7.76,0
2016,8000,10.99,36,2,261.88,8000,17.37,1
2017,15000,15.23,60,1,358.67,15000,11.84,0
2018,3500,14.65,36,1,120.73,3500,18.38,1
2019,2100,14.65,36,1,72.44,2100,4.06,0
2020,5200,10.74,36,1,169.61,5200,4.28,1
2021,12800,15.21,36,2,445.04,12800,21.49,0
2022,12000,18.3,60,8,306.69,12000,4.82,0
2023,22400,10.36,60,5,314.95,14700,18.7,1
2024,8000,9.38,36,5,255.82,8000,14.84,1
2025,10000,12.18,36,1,333,10000,16.14,1
2026,9600,12.18,36,1,319.68,9600,3.84,1
2027,10000,10.36,36,1,324.37,10000,13.64,1
2028,35000,20.3,60,1,933.14,35000,15.29,0
2029,11600,15.05,36,2,402.42,11600,16.79,0
2030,6000,13.36,36,8,203.21,6000,16.24,1
2031,17000,12.18,36,1,566.1,17000,15.8,0
2032,6000,11.83,36,1,198.81,6000,15.94,1
2033,7500,11.14,36,1,246.03,7500,19.79,1
2034,10400,17.58,60,3,261.73,10400,8.93,0
2035,10000,10.65,60,14,215.69,10000,2.75,0
2036,3000,8.49,36,4,94.69,3000,0.81,1
2037,5600,8.94,36,1,177.93,5600,21.54,1
2038,15000,15.65,36,2,524.77,15000,4.23,1
2039,18000,12.18,36,1,599.4,18000,20.24,0
2040,8000,5.99,36,2,243.34,8000,8.94,1
2041,17000,14.91,60,3,403.63,17000,18.95,0
2042,30000,14.65,36,1,1034.83,30000,20.13,1
2043,18000,11.86,60,1,341.48,15400,24.72,1
2044,12000,13.16,36,1,405.25,12000,18.22,0
2045,2550,11.86,36,5,84.53,2550,12.65,1
2046,5000,12.12,36,1,166.36,5000,10.75,1
2047,6000,9.99,36,2,193.58,6000,19.48,1
2048,35000,13.49,60,4,805.17,35000,6.22,1
2049,12000,13.3,36,1,406.07,12000,7.16,0
2050,18725,20.99,60,1,506.47,18725,8.67,0
2051,14500,8.94,36,1,460.69,14500,10.96,1
2052,15000,16.29,36,3,529.51,15000,21.99,0
2053,16000,12.18,36,1,532.8,16000,19.77,1
2054,11000,13.98,36,1,375.85,11000,8.93,0
2055,35000,21.28,60,1,952.39,35000,23.73,1
2056,25000,11.49,60,1,549.69,25000,22.25,0
2057,10000,9.63,36,4,320.94,10000,22.24,1
2058,9250,14.22,36,1,317.13,9250,10.81,0
2059,2500,13.98,36,13,85.42,2500,22.64,1
2060,10000,16.69,60,14,246.87,10000,19.54,0
2061,21600,22.85,60,1,607.06,21600,18.79,0
2062,3500,7.74,36,11,109.27,3500,5.73,1
2063,4000,7.88,60,1,80.88,4000,13.86,0
2064,7200,6.92,36,2,222.06,7200,11.72,1
2065,5500,7.51,36,6,171.11,5500,9.1,1
2066,2500,11.14,36,1,82.01,2500,18.09,0
2067,19000,16.77,36,1,675.23,19000,12.12,1
2068,4000,12.53,36,5,133.87,4000,1.34,0
2069,3000,13.57,36,1,101.91,3000,5.69,1
2070,8525,10.78,36,1,278.22,8525,18.58,0
2071,13000,9.99,36,1,419.42,13000,18.3,0
2072,8000,12.87,36,1,269.07,8000,5.3,1
2073,6000,5.79,36,11,181.97,6000,18.84,0
2074,8000,13.85,36,14,272.84,8000,15.73,1
2075,10000,8.59,36,1,316.11,10000,3.78,1
2076,7500,5.42,36,1,226.2,7500,5.54,1
2077,19400,16.07,36,1,682.77,19400,7.25,1
2078,10000,11.14,36,1,328.04,10000,12.92,0
2079,10000,13.11,36,14,337.47,10000,17.22,0
2080,5000,12.12,60,14,111.53,5000,10.5,1
2081,14075,11.48,36,1,464.04,14075,16.33,0
2082,25000,11.89,36,1,829.1,25000,19.48,1
2083,18000,8.49,36,1,568.14,18000,12.63,1
2084,15000,9.76,36,8,482.32,15000,11.35,0
2085,16000,14.54,36,1,551.05,16000,12.99,0
2086,7500,15.37,36,1,261.35,7500,7.09,1
2087,24000,16.32,60,1,378.35,15450,13.3,1
2088,35000,20.99,60,1,671.47,24825,18.93,0
2089,2500,11.89,36,12,82.91,2500,19.18,1
2090,3025,10.28,36,7,98.01,3025,9.13,1
2091,14000,18.99,60,2,363.1,14000,14.68,1
2092,35000,12.69,36,1,1174.07,35000,0.13,1
2093,7925,10.59,36,1,257.92,7925,15.52,0
2094,5000,10.74,36,1,163.08,5000,15.69,0
2095,25000,11.03,36,1,818.83,25000,9.38,1
2096,13000,11.83,36,1,430.75,13000,16.25,1
2097,3500,10.65,36,3,114.01,3500,12.4,1
2098,15500,13.67,36,2,527.28,15500,19.81,0
2099,4500,6.62,36,4,138.17,4500,8,1
2100,2000,11.89,36,12,66.33,2000,1.27,0
2101,4000,11.49,36,14,131.89,4000,14.56,1
2102,6800,16.49,60,1,167.14,6800,23.28,0
2103,3000,11.11,36,10,98.38,3000,23.94,0
2104,15000,13.57,36,2,509.53,15000,0.81,0
2105,15000,17.49,60,4,376.76,15000,14.17,0
2106,7800,10.65,36,1,254.08,7800,7.15,1
