,Amount_Requested,Interest_Rate_Percentage,Loan_Length_in_Months,Loan_Purpose,Monthly_PAYMENT,Total_Amount_Funded,Debt_To_Income_Ratio_Percentage,Status
761,6000,10.99,36,1,196.41,6000,15.86,0
762,35000,11.99,60,1,510.4,22950,6.13,1
763,18500,7.66,36,1,576.83,18500,10.33,1
764,15000,10.96,36,14,472.81,14450,1.33,0
765,25000,11.48,36,1,824.22,25000,9.9,1
766,12800,9.62,36,1,410.75,12800,15.87,1
767,15000,12.18,36,1,499.5,15000,21.24,0
768,1500,9.62,36,13,48.14,1500,17.79,0
769,9000,5.99,36,2,273.76,9000,11.68,0
770,6000,14.11,36,1,205.38,6000,21.3,0
771,1000,11.99,36,13,33.21,1000,4.39,0
772,22400,12.99,60,5,509.56,22400,2.7,0
773,3000,10.75,36,13,97.87,3000,18.39,0
774,9000,7.66,36,5,280.62,9000,9.1,1
775,7000,11.34,36,4,230.3,7000,5.69,1
776,18000,7.9,36,1,563.23,18000,12.92,1
777,16000,8.9,36,2,508.06,16000,25.29,0
778,9875,7.51,36,2,307.22,9875,6.64,1
779,22400,21.67,60,1,614.47,22400,18.65,0
780,7000,7.88,36,2,218.97,7000,12.74,1
781,7000,6.54,36,4,214.68,7000,20.04,1
782,25000,21.64,36,9,950.12,25000,20.74,0
783,1800,8.88,36,13,57.14,1800,24.56,0
784,6400,10.39,36,1,207.69,6400,14.79,1
785,24250,17.56,60,1,610.01,24250,16.82,0
786,10000,8.59,36,13,316.11,10000,8.52,1
787,22800,17.19,60,2,568.98,22800,8.87,0
788,6500,12.68,36,3,218.02,6500,20.39,0
789,25000,16.02,60,1,608.22,25000,24.62,0
790,12925,6.54,36,1,354.21,11550,13.15,1
791,6000,13.49,36,3,203.59,6000,14.19,0
792,6500,15.01,36,3,225.37,6500,6.45,0
793,6000,8.59,36,2,189.67,6000,12.65,1
794,10000,9.91,60,5,212.03,10000,6.46,1
795,10000,17.39,36,1,358.48,10000,22.35,0
796,4000,11.99,36,13,132.84,4000,22.43,1
797,3000,11.83,36,1,99.41,3000,9.43,1
798,5000,13.11,36,1,168.74,5000,27.05,1
799,8500,10.59,36,1,276.64,8500,5.76,1
800,12000,15.62,36,14,419.64,12000,20.83,1
801,2500,15.33,36,4,87.08,2500,17.81,0
802,12000,14.96,36,12,415.76,12000,8.83,0
803,9500,7.51,36,1,295.56,9500,16.82,1
804,3200,6.76,36,1,98.46,3200,8.34,1
805,2400,9.91,36,1,77.34,2400,15.66,0
806,24000,13.61,60,1,495.36,21475,6.39,1
807,1500,14.42,36,10,51.58,1500,12.04,0
808,25000,20.77,60,5,673.11,25000,12.82,1
809,24250,18.25,60,1,619.1,24250,16.08,0
810,3000,7.88,36,4,93.85,3000,8.16,1
811,7000,8.94,36,6,222.41,7000,15.2,0
812,20000,13.43,36,1,678.03,20000,10.26,0
813,13500,9.76,36,1,434.09,13500,16.94,1
814,25000,12.87,36,4,840.83,25000,0.13,0
815,22750,23.13,60,1,643.04,22750,18.73,0
816,15000,12.69,60,1,338.93,15000,4.68,0
817,11725,16.29,36,2,413.9,11725,14.41,0
818,4500,14.46,36,11,154.81,4500,13.51,0
819,7500,7.9,36,1,234.68,7500,12.32,0
820,10000,14.93,36,3,346.32,10000,20.58,0
821,15000,5.99,36,14,456.27,15000,1.55,1
822,35000,14.27,60,1,819.3,35000,7.93,0
823,1875,8.49,36,2,59.19,1875,24.47,0
824,5000,13.61,60,4,115.34,5000,13.61,0
825,2500,7.14,36,5,77.35,2500,9.05,1
826,12000,14.42,36,1,412.6,12000,7.91,0
827,15000,13.57,36,7,509.53,15000,15.42,1
828,2400,16.4,60,1,58.88,2400,13.64,0
